"Date","Price","Open","High","Low","Change %"
"Feb 07, 2017","2.4835","2.4686","2.4926","2.4656","0.62%"
"Feb 06, 2017","2.4682","2.4613","2.4811","2.4564","0.35%"
"Feb 03, 2017","2.4597","2.4619","2.4764","2.4566","-0.24%"
"Feb 02, 2017","2.4655","2.4646","2.4702","2.4525","0.10%"
"Feb 01, 2017","2.4631","2.4562","2.4745","2.4526","0.22%"
"Jan 31, 2017","2.4577","2.4821","2.4878","2.4573","-0.95%"
"Jan 30, 2017","2.4813","2.4840","2.5010","2.4678","0.08%"
"Jan 27, 2017","2.4793","2.4790","2.4900","2.4722","-0.15%"
"Jan 26, 2017","2.4830","2.4714","2.4931","2.4640","0.61%"
"Jan 25, 2017","2.4680","2.4716","2.4794","2.4656","-0.17%"
"Jan 24, 2017","2.4722","2.4636","2.4777","2.4604","0.30%"
"Jan 23, 2017","2.4648","2.4856","2.4865","2.4645","-0.54%"
"Jan 20, 2017","2.4781","2.4833","2.4973","2.4759","-0.37%"
"Jan 19, 2017","2.4872","2.4958","2.5090","2.4865","-0.35%"
"Jan 18, 2017","2.4960","2.4752","2.5006","2.4728","0.82%"
"Jan 17, 2017","2.4758","2.5059","2.5072","2.4752","-1.03%"
"Jan 16, 2017","2.5015","2.4996","2.5088","2.4907","0.39%"
"Jan 13, 2017","2.4918","2.4970","2.5037","2.4854","-0.30%"
"Jan 12, 2017","2.4992","2.5053","2.5099","2.4855","-0.32%"
"Jan 11, 2017","2.5072","2.5147","2.5419","2.4998","-0.23%"
"Jan 10, 2017","2.5130","2.5088","2.5166","2.4949","0.14%"
"Jan 09, 2017","2.5095","2.5208","2.5280","2.5087","-0.34%"
"Jan 06, 2017","2.5181","2.4955","2.5193","2.4945","0.70%"
"Jan 05, 2017","2.5006","2.5302","2.5361","2.5006","-1.15%"
"Jan 04, 2017","2.5297","2.5514","2.5555","2.5292","-0.80%"
"Jan 03, 2017","2.5501","2.5354","2.5678","2.5274","0.56%"
"Jan 02, 2017","2.5360","2.5236","2.5415","2.5183","0.50%"
"Dec 30, 2016","2.5234","2.5263","2.5290","2.4872","-0.24%"
"Dec 29, 2016","2.5294","2.5478","2.5514","2.5289","-0.74%"
"Dec 28, 2016","2.5482","2.5377","2.5600","2.5320","0.41%"
"Dec 27, 2016","2.5377","2.5412","2.5469","2.5351","0.05%"
"Dec 26, 2016","2.5364","2.5379","2.5412","2.5328","0.00%"
"Dec 23, 2016","2.5364","2.5417","2.5444","2.5334","-0.26%"
"Dec 22, 2016","2.5429","2.5425","2.5448","2.5253","-0.06%"
"Dec 21, 2016","2.5443","2.5531","2.5562","2.5385","-0.40%"
"Dec 20, 2016","2.5546","2.5523","2.5669","2.5458","0.15%"
"Dec 19, 2016","2.5509","2.5410","2.5558","2.5311","0.46%"
"Dec 16, 2016","2.5392","2.5464","2.5526","2.5342","-0.35%"
"Dec 15, 2016","2.5482","2.5177","2.5621","2.5145","1.18%"
"Dec 14, 2016","2.5185","2.4986","2.5316","2.4895","0.86%"
"Dec 13, 2016","2.4971","2.4954","2.5046","2.4882","0.11%"
"Dec 12, 2016","2.4943","2.5141","2.5204","2.4912","-0.72%"
"Dec 09, 2016","2.5125","2.4991","2.5209","2.4936","0.51%"
"Dec 08, 2016","2.4998","2.4691","2.5053","2.4417","1.30%"
"Dec 07, 2016","2.4678","2.4764","2.4785","2.4628","-0.28%"
"Dec 06, 2016","2.4747","2.4630","2.4800","2.4583","0.38%"
"Dec 05, 2016","2.4653","2.4865","2.5274","2.4593","-0.83%"
"Dec 02, 2016","2.4859","2.4844","2.4987","2.4781","-0.08%"
"Dec 01, 2016","2.4878","2.5046","2.5105","2.4872","-0.72%"
"Nov 30, 2016","2.5059","2.4918","2.5168","2.4874","0.57%"
"Nov 29, 2016","2.4918","2.4998","2.5149","2.4909","-0.28%"
"Nov 28, 2016","2.4987","2.5034","2.5139","2.4808","-0.26%"
"Nov 25, 2016","2.5053","2.5120","2.5128","2.4937","-0.31%"
"Nov 24, 2016","2.5132","2.5122","2.5232","2.5065","0.01%"
"Nov 23, 2016","2.5129","2.4955","2.5227","2.4917","0.64%"
"Nov 22, 2016","2.4970","2.4944","2.5083","2.4897","0.07%"
"Nov 21, 2016","2.4953","2.5088","2.5116","2.4946","-0.42%"
"Nov 18, 2016","2.5059","2.4949","2.5120","2.4916","0.35%"
"Nov 17, 2016","2.4971","2.4821","2.5023","2.4722","0.60%"
"Nov 16, 2016","2.4821","2.4750","2.4909","2.4642","0.33%"
"Nov 15, 2016","2.4739","2.4721","2.4787","2.4545","0.10%"
"Nov 14, 2016","2.4714","2.4453","2.4783","2.4453","1.15%"
"Nov 11, 2016","2.4433","2.4350","2.4503","2.4257","0.32%"
"Nov 10, 2016","2.4354","2.4310","2.4442","2.4190","0.13%"
"Nov 09, 2016","2.4322","2.4082","2.4362","2.3506","1.07%"
"Nov 08, 2016","2.4065","2.4030","2.4118","2.3980","0.15%"
"Nov 07, 2016","2.4030","2.3847","2.4089","2.3840","0.95%"
"Nov 04, 2016","2.3803","2.3897","2.3983","2.3795","-0.32%"
"Nov 03, 2016","2.3880","2.3897","2.4015","2.3817","-0.08%"
"Nov 02, 2016","2.3899","2.3986","2.4015","2.3855","-0.37%"
"Nov 01, 2016","2.3988","2.4184","2.4228","2.3984","-0.69%"
"Oct 31, 2016","2.4154","2.4139","2.4253","2.4089","0.05%"
"Oct 28, 2016","2.4141","2.4350","2.4371","2.4135","-0.83%"
"Oct 27, 2016","2.4343","2.4322","2.4381","2.4245","0.09%"
"Oct 26, 2016","2.4320","2.4373","2.4390","2.4249","-0.20%"
"Oct 25, 2016","2.4369","2.4392","2.4461","2.4314","-0.07%"
"Oct 24, 2016","2.4385","2.4369","2.4423","2.4320","0.04%"
"Oct 21, 2016","2.4375","2.4287","2.4457","2.4242","0.42%"
"Oct 20, 2016","2.4274","2.4186","2.4301","2.4040","0.43%"
"Oct 19, 2016","2.4169","2.4146","2.4205","2.4064","0.03%"
"Oct 18, 2016","2.4161","2.4124","2.4196","2.4017","0.21%"
"Oct 17, 2016","2.4110","2.4169","2.4188","2.4087","-0.31%"
"Oct 14, 2016","2.4186","2.3981","2.4202","2.3927","0.79%"
"Oct 13, 2016","2.3997","2.4097","2.4167","2.3970","-0.43%"
"Oct 12, 2016","2.4101","2.3995","2.4116","2.3908","0.40%"
"Oct 11, 2016","2.4005","2.3798","2.4009","2.3741","0.82%"
"Oct 10, 2016","2.3809","2.3635","2.3826","2.3618","0.55%"
"Oct 07, 2016","2.3679","2.3771","2.3905","2.3648","-0.49%"
"Oct 06, 2016","2.3795","2.3665","2.3822","2.3603","0.53%"
"Oct 05, 2016","2.3670","2.3657","2.3710","2.3571","-0.03%"
"Oct 04, 2016","2.3678","2.3653","2.3834","2.3577","0.08%"
"Oct 03, 2016","2.3659","2.3567","2.3672","2.3546","0.23%"
"Sep 30, 2016","2.3605","2.3625","2.3828","2.3546","-0.16%"
"Sep 29, 2016","2.3642","2.3641","2.3709","2.3558","-0.03%"
"Sep 28, 2016","2.3649","2.3635","2.3726","2.3586","-0.04%"
"Sep 27, 2016","2.3659","2.3575","2.3723","2.3519","0.34%"
"Sep 26, 2016","2.3579","2.3607","2.3643","2.3510","-0.20%"
"Sep 23, 2016","2.3626","2.3643","2.3716","2.3573","-0.19%"
"Sep 22, 2016","2.3670","2.3676","2.3727","2.3552","-0.18%"
"Sep 21, 2016","2.3712","2.3763","2.3876","2.3666","-0.31%"
"Sep 20, 2016","2.3786","2.3740","2.3803","2.3650","0.17%"
"Sep 19, 2016","2.3746","2.3758","2.3794","2.3664","-0.16%"
"Sep 16, 2016","2.3784","2.3575","2.3798","2.3525","0.78%"
"Sep 15, 2016","2.3599","2.3562","2.3653","2.3497","0.06%"
"Sep 14, 2016","2.3586","2.3642","2.3684","2.3522","-0.27%"
