"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10423,10423,
10423,11193,
10423,11193,
10423,14683,
10423,10721,
10423,11697,
10423,12478,
10423,12954,
10423,13204,
10423,14492,
10423,11292,
10423,14492,
10423,13232,
10423,10561,
10423,11789,
10423,12889,
10423,14262,
10423,15618,
10423,10397,
10423,11042,
10423,11193,
10423,11292,
10423,11433,
10423,12264,
10423,12889,
10423,13204,
10423,13487,
10423,13495,
10423,13891,
10423,13930,
10423,14100,
10423,14679,
10423,14747,
10423,14771,
10423,14869,
10423,14908,
10423,15304,
10423,11193,
10423,10397,
10423,11193,
10423,14492,
10423,14057,
10423,14679,
10423,14747,
10423,14771,
10423,14831,
10423,14893,
10423,10529,
10423,10721,
10423,11292,
10423,11298,
10423,11423,
10423,11618,
10423,12264,
10423,12266,
10423,12953,
10423,13158,
10423,13290,
10423,13495,
10423,13930,
10423,14771,
10423,10140,
10423,10279,
10423,10397,
10423,10599,
10423,10693,
10423,10713,
10423,10721,
10423,10792,
10423,10800,
10423,10821,
10423,10994,
10423,11042,
10423,11057,
10423,11066,
10423,11193,
10423,11259,
10423,11278,
10423,11292,
10423,11423,
