,User,Location,DTG,Message
90,4koko77, 🌍,2020-10-28 02:45:54,"Yo, give this woman whatever she asks for
And protect her at all cost.... 🙌🏽
#blm
#EndSARS https://t.co/bUcyZFhbMN"
91,Natasha85523983,,2020-10-28 02:45:50,"@theblaze https://t.co/2kmbMJbrkj

Trickle down economics at work? 

#walmart #Philadephia #Philadelphiariots #BLM"
92,Clyatt,"Las Vegas, Nevada 🇺🇸 🏳️‍🌈",2020-10-28 02:45:40,More unedited video of what has been happening tonight in West #Philadelphia ... watch until the end for a seemingly UNPROVOKED attack by @PhillyPolice #BLM #PhillyProtests ... 7 days left to save America ... PLEASE #Pennsylvania vote @JoeBiden https://t.co/7MePTDKepQ
93,AustinC05252556,,2020-10-28 02:45:27,@bennyjohnson @AnnCoulter I heard that #BLM had gone shopping in Wal-Mart with their own shopping bags.
94,johncitysq,SF Bay Area,2020-10-28 02:45:10,"""Mostly Peaceful"":

Philadelphia police say 1,000 looters targeting businesses on second night of #BLM riots. https://t.co/KBqb29eyCN"
95,ganchen2,Dallas,2020-10-28 02:45:09,"#phillyriot
Reparation, #BLM style..."
96,JonBoles3,,2020-10-28 02:44:56,"#Philadelphia #Police #PoliceShooting #BullShit #BLM #BlackLivesMatter #UnarmedBlackMan #Justice Befo ya'll go off, check out this bum's rapsheet:
https://t.co/fn4FWHZejR"
97,WillontheRadio,"Toronto, Ontario",2020-10-28 02:44:42,"🚨 #Philadelphia GameStop Happening Now.

#PlayStation5 #XboxSeriesX
#Philadelphiariots #phillyriots #phillypolice #BlackLivesMatter #BLM #Election2020 #VOTE
#USARevolts #usariots

https://t.co/Eot2oJkuPc"
98,fantasticincred,"Hitler, North Dakota",2020-10-28 02:44:35,@SethAbramson Biden supports the domestic terrorists from #blm #BLMIsATerroristOrganization
99,Ay_dubb,,2020-10-28 02:44:35,"""shoot back at the police"" - joe biden voters #BLM https://t.co/0MujhDrEVE"
